episode,phase,starting_stones,steps,avg_return,ema_return,win_rate,draw_rate,policy_loss,value_loss,entropy,kl_div,clip_frac,grad_norm,lr,cycle_step,last_reset_event,minimax_depth_beaten,clone_gen,active_mm_max_depth,shaping_mult,wr_vs_mm_d1,wr_vs_mm_d2,wr_vs_mm_d3,wr_vs_mm_d4,wr_vs_mm_d5,wr_vs_mm_d6,wr_vs_mm_d7,wr_vs_random,wr_vs_self,slope_angle_d1,slope_angle_d2,slope_angle_d3,slope_angle_d4,slope_angle_d5,slope_angle_d6,slope_angle_d7,samples_in_window_d1,samples_in_window_d2,samples_in_window_d3,samples_in_window_d4,samples_in_window_d5,samples_in_window_d6,samples_in_window_d7,eps_per_sec
327767,1,-1,15484275,1.6504779336994102,0.5216268295176179,0.76975,0.0505,-0.006857350587727095,0.2722612499505624,2.322363053245106,0.0010749589130463046,0.014946935826848293,0.38907667994499207,1.9672131147540982e-05,0,none,0,0,1,0.9726860833333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.756,0.0,nan,nan,nan,nan,nan,nan,13,0,0,0,0,0,0,238.93309080526586
352370,1,-1,16156661,1.7263532659440588,0.5818631513389398,0.79075,0.0355,-0.006602653637125996,0.27581573047755675,2.2983361114690335,0.0008498752771472173,0.009273874688387654,0.3576171100139618,2.1147540983606554e-05,0,none,0,0,1,0.9706358333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.728,0.792,0.0,nan,nan,nan,nan,nan,nan,14,0,0,0,0,0,0,246.32874568067464
376956,1,-1,16799305,1.7829221069757981,0.6419160991207828,0.802,0.044,-0.0062075620278334,0.27581379734552824,2.317690604772323,0.0008193073821857047,0.009048977550357962,0.532494843006134,2.262295081967213e-05,0,none,2,0,1,0.968587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.748,0.802,0.0,nan,nan,nan,nan,nan,nan,15,0,0,0,0,0,0,253.77220988920703
401541,1,-1,17421248,1.8461785641651414,0.7021292223730008,0.803,0.034,-0.0072417153532091435,0.2756940699540652,2.251784092340714,0.0009222295822184653,0.014657047505562123,1.117040991783142,2.4098360655737702e-05,0,none,1,0,1,0.96653825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.736,0.83,0.0,nan,nan,nan,nan,nan,nan,16,0,0,0,0,0,0,260.47871456659
426117,1,-1,18030448,1.9079386393229165,0.7624196932204965,0.819,0.033,-0.007390822332818061,0.281392715771993,2.2554859828948977,0.001006464211192603,0.015751085157195727,0.430021733045578,2.5573770491803274e-05,0,none,0,0,1,0.96449025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.732,0.82,0.0,nan,nan,nan,nan,nan,nan,17,0,0,0,0,0,0,266.86089762216506
450720,1,-1,18615565,1.95394874923734,0.8219961460213386,0.828,0.02,-0.008583508262139125,0.28392734709713197,2.193645066685147,0.001072567133127854,0.021655749374379713,0.589015007019043,2.704918032786885e-05,0,none,1,0,1,0.96244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77,0.838,0.0,nan,nan,nan,nan,nan,nan,18,0,0,0,0,0,0,273.26003684862656
475303,1,-1,19191790,1.9973701126978316,0.8807648443551632,0.8295,0.023,-0.009142425072948553,0.2886425293982029,2.1751833856105804,0.0015803413753019413,0.0307178082358506,1.3012601137161255,2.8524590163934422e-05,0,none,2,0,1,0.9603914166666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.794,0.832,0.0,nan,nan,nan,nan,nan,nan,19,0,0,0,0,0,0,278.81521020196664
500558,1,-1,19765533,1.8976345004269854,0.9316083271587543,0.73725,0.0095,-0.011360004817581048,0.34108904997507733,2.111124736675318,0.001490386930105371,0.03126907961416072,0.5331302881240845,2.9999999999999997e-05,0,none,1,1,1,0.9582868333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.812,0.6,0.0,nan,nan,nan,nan,nan,nan,20,0,0,0,0,0,0,285.75552089954897
525143,1,-1,20385522,-0.07094476980640964,0.8814806723104961,0.41625,0.0395,0.0016259266218791406,0.5313534744274921,2.017435413140517,0.002484504608079218,0.07590897476825959,0.7099998593330383,3.147540983606557e-05,0,none,2,1,1,0.9562380833333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.802,0.23,0.0,nan,nan,nan,nan,nan,nan,20,0,0,0,0,0,0,290.4634804613897
557924,1,-1,21278875,0.07181943935880222,0.8409976106629113,0.4435,0.052,0.001515038984549371,0.4367594424335436,2.0782877412335625,0.001983506065437399,0.05561669911632593,1.5873790979385376,3.344262295081967e-05,0,none,2,1,1,0.9535063333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.782,0.254,0.0,nan,nan,nan,nan,nan,nan,20,0,0,0,0,0,0,294.07154518899983
582523,1,-1,21972201,0.18417805989583336,0.8081566331245574,0.47125,0.0595,0.0008226833700994564,0.4001118917574828,2.1046740488074294,0.001533795767677841,0.04698153336842855,0.5130508542060852,3.491803278688524e-05,0,none,2,1,1,0.9514564166666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.806,0.31,0.0,nan,nan,nan,nan,nan,nan,20,0,0,0,0,0,0,296.0877934227346
